Generation,phylogenetic_diversity,mean_pairwise_distance,min_pairwise_distance,max_pairwise_distance,variance_pairwise_distance,mean_evolutionary_distinctiveness,min_evolutionary_distinctiveness,max_evolutionary_distinctiveness,variance_evolutionary_distinctiveness
3690,72992,2132.42,1,5192,5.37995e+06,-1,-1,-1,0
3700,73071,2228.99,1,5210,5.43804e+06,-1,-1,-1,0
3710,72501,2312.03,1,5225,5.60375e+06,-1,-1,-1,0
3720,72769,2391.71,1,5242,5.59231e+06,-1,-1,-1,0
3730,72968,2371.47,1,5257,5.56736e+06,-1,-1,-1,0
3740,73375,2262.29,1,5266,5.52934e+06,-1,-1,-1,0
3750,73386,2217.75,1,5282,5.27305e+06,-1,-1,-1,0
3760,73795,2280.32,1,5296,5.75626e+06,-1,-1,-1,0
3770,74134,2420.19,1,5313,5.69938e+06,-1,-1,-1,0
3780,74550,2050.44,1,5327,5.46157e+06,-1,-1,-1,0
3790,73847,2202.15,1,5332,5.76692e+06,-1,-1,-1,0
3800,74188,2221.28,1,5348,5.717e+06,-1,-1,-1,0
3810,74157,2396.48,1,5362,5.90309e+06,-1,-1,-1,0
3820,74470,2360.89,1,5376,5.85748e+06,-1,-1,-1,0
3830,74812,2298.17,1,5391,5.87273e+06,-1,-1,-1,0
3840,75051,2550.06,1,5407,5.90714e+06,-1,-1,-1,0
3850,75313,2363.02,1,5424,5.9929e+06,-1,-1,-1,0
3860,75677,2254.33,1,5435,5.86711e+06,-1,-1,-1,0
3870,75738,2360.08,1,5450,6.03812e+06,-1,-1,-1,0
3880,76156,2408.01,1,5466,6.19085e+06,-1,-1,-1,0
3890,76263,2451.73,1,5479,6.27366e+06,-1,-1,-1,0
3900,76643,2288.69,1,5493,6.07865e+06,-1,-1,-1,0
3910,76872,2376.3,1,5508,6.02706e+06,-1,-1,-1,0
3920,77020,2373.2,1,5522,6.07371e+06,-1,-1,-1,0
3930,77220,2267.73,1,5535,6.07882e+06,-1,-1,-1,0
3940,77455,2419.31,1,5549,6.23907e+06,-1,-1,-1,0
3950,77917,2270.39,1,5565,6.11829e+06,-1,-1,-1,0
3960,78364,2320.08,1,5580,6.15404e+06,-1,-1,-1,0
3970,78482,2454.65,1,5590,6.30161e+06,-1,-1,-1,0
3980,78713,2340.09,1,5605,6.40224e+06,-1,-1,-1,0
3990,77981,2401.91,1,5622,6.41751e+06,-1,-1,-1,0
4000,78187,2290.24,1,5636,6.32783e+06,-1,-1,-1,0
4010,78517,2389.5,1,5650,6.40539e+06,-1,-1,-1,0
4020,78802,2461.64,1,5666,6.49121e+06,-1,-1,-1,0
4030,79111,2545.23,1,5682,6.4557e+06,-1,-1,-1,0
4040,78793,2397.38,1,5697,6.4757e+06,-1,-1,-1,0
4050,78961,2411.67,1,5711,6.88435e+06,-1,-1,-1,0
4060,79330,2494.56,1,5724,6.64554e+06,-1,-1,-1,0
4070,79501,2619.53,1,5736,6.59518e+06,-1,-1,-1,0
4080,79915,2379.03,1,5750,6.52971e+06,-1,-1,-1,0
4090,80287,2457.05,1,5765,6.72747e+06,-1,-1,-1,0
4100,80594,2221.1,1,5777,6.66208e+06,-1,-1,-1,0
4110,80877,2426.4,1,5789,6.77531e+06,-1,-1,-1,0
4120,81237,2726.78,1,5801,6.83895e+06,-1,-1,-1,0
4130,81650,2460.05,1,5814,6.95359e+06,-1,-1,-1,0
4140,80151,2536.46,1,5827,7.03966e+06,-1,-1,-1,0
4150,79755,2432.62,1,5835,6.97123e+06,-1,-1,-1,0
4160,79991,2468.8,1,5851,6.95515e+06,-1,-1,-1,0
4170,80347,2332.12,1,5868,6.90692e+06,-1,-1,-1,0
4180,80494,2269.1,1,5883,6.82869e+06,-1,-1,-1,0
4190,80580,2541.19,1,5894,7.18118e+06,-1,-1,-1,0
4200,80887,2418.79,1,5909,7.15561e+06,-1,-1,-1,0
4210,81141,2558.94,1,5924,7.1718e+06,-1,-1,-1,0
4220,81417,2621.77,1,5939,7.12942e+06,-1,-1,-1,0
4230,81190,2600.43,1,5955,7.26384e+06,-1,-1,-1,0
4240,81660,2507.66,1,5969,7.31082e+06,-1,-1,-1,0
4250,81928,2575.92,1,5984,7.28314e+06,-1,-1,-1,0
4260,82266,2535.95,1,5998,7.41024e+06,-1,-1,-1,0
4270,82624,2663.05,1,6012,7.53975e+06,-1,-1,-1,0
4280,82829,2560.29,1,6024,7.34823e+06,-1,-1,-1,0
4290,83039,2688.76,1,6039,7.52051e+06,-1,-1,-1,0
4300,83237,2590.09,1,6049,7.63579e+06,-1,-1,-1,0
4310,83494,2477.23,1,6066,7.39664e+06,-1,-1,-1,0
4320,83919,2751.21,1,6083,7.59195e+06,-1,-1,-1,0
4330,84381,2491.8,1,6100,7.51925e+06,-1,-1,-1,0
4340,84503,2567.22,1,6114,7.59059e+06,-1,-1,-1,0
4350,84684,2795.64,1,6125,7.8202e+06,-1,-1,-1,0
4360,84906,2677.6,1,6141,7.609e+06,-1,-1,-1,0
4370,83827,2453.02,1,6157,7.70332e+06,-1,-1,-1,0
4380,84058,2636.37,1,6170,7.87177e+06,-1,-1,-1,0
4390,84501,2560.76,1,6183,7.94372e+06,-1,-1,-1,0
4400,84622,2820.78,1,6199,8.09227e+06,-1,-1,-1,0
4410,84948,2542.53,1,6214,7.86153e+06,-1,-1,-1,0
4420,85178,2569.34,1,6229,7.91019e+06,-1,-1,-1,0
4430,82064,2520.95,1,6241,7.99578e+06,-1,-1,-1,0
4440,82222,2635.08,1,6256,7.78926e+06,-1,-1,-1,0
4450,82553,2659.76,1,6271,8.16e+06,-1,-1,-1,0
4460,82869,2325.17,1,6287,7.483e+06,-1,-1,-1,0
4470,83198,2284.09,1,6302,7.69185e+06,-1,-1,-1,0
4480,83401,2725.35,1,6320,8.17648e+06,-1,-1,-1,0
4490,83564,2459.67,1,6333,7.92648e+06,-1,-1,-1,0
4500,83716,2621.93,1,6347,8.10287e+06,-1,-1,-1,0
4510,84112,2389.1,1,6362,8.0904e+06,-1,-1,-1,0
4520,84395,2390.11,1,6376,7.95983e+06,-1,-1,-1,0
4530,84808,2614.73,1,6390,8.43894e+06,-1,-1,-1,0
4540,84866,2615.04,1,6405,8.29618e+06,-1,-1,-1,0
4550,85387,2574.87,1,6418,8.30804e+06,-1,-1,-1,0
4560,85669,2546.01,1,6431,8.2765e+06,-1,-1,-1,0
4570,86025,2574.61,1,6448,8.27217e+06,-1,-1,-1,0
4580,83348,2512.2,1,6462,8.24489e+06,-1,-1,-1,0
4590,83774,2602.17,1,6477,8.70874e+06,-1,-1,-1,0
4600,84233,2602.21,1,6489,8.48371e+06,-1,-1,-1,0
4610,84514,2327.65,1,6506,8.23079e+06,-1,-1,-1,0
4620,84516,2758.18,1,6521,8.68506e+06,-1,-1,-1,0
4630,84489,2483.5,1,6535,8.56621e+06,-1,-1,-1,0
4640,84767,2760.62,1,6549,8.706e+06,-1,-1,-1,0
4650,85011,2430.62,1,6560,8.05952e+06,-1,-1,-1,0
4660,85331,2474.02,1,6576,8.54932e+06,-1,-1,-1,0
4670,85515,2733.48,1,6591,8.98085e+06,-1,-1,-1,0
4680,85931,2581,1,6609,8.68865e+06,-1,-1,-1,0
4690,86100,2378.69,1,6621,8.44321e+06,-1,-1,-1,0
4700,86446,2622.15,1,6637,8.54805e+06,-1,-1,-1,0
4710,86139,2499.57,1,6653,8.58174e+06,-1,-1,-1,0
4720,86447,2899.74,1,6669,9.18918e+06,-1,-1,-1,0
4730,86938,2500.03,1,6683,8.7345e+06,-1,-1,-1,0
4740,87157,2435.4,1,6698,8.78934e+06,-1,-1,-1,0
4750,87526,2392.52,1,6713,8.43113e+06,-1,-1,-1,0
4760,87844,2720.67,1,6724,8.99353e+06,-1,-1,-1,0
4770,87331,2690.81,1,6739,9.18379e+06,-1,-1,-1,0
4780,87592,2565.94,1,6754,8.95715e+06,-1,-1,-1,0
4790,87360,2586.47,1,6768,9.16028e+06,-1,-1,-1,0
4800,87568,2686.35,1,6782,8.99699e+06,-1,-1,-1,0
4810,88117,2365.76,1,6794,8.99098e+06,-1,-1,-1,0
4820,88443,2705.63,1,6811,9.13849e+06,-1,-1,-1,0
4830,85866,2438.69,1,6825,9.15336e+06,-1,-1,-1,0
4840,83184,2583.4,1,6838,9.52682e+06,-1,-1,-1,0
4850,83255,2531.35,1,6854,9.69686e+06,-1,-1,-1,0
4860,83695,2395.3,1,6866,9.35714e+06,-1,-1,-1,0
4870,84026,2196.5,1,6882,8.92076e+06,-1,-1,-1,0
4880,83909,2494.55,1,6901,9.36867e+06,-1,-1,-1,0
4890,84283,2530.66,1,6916,9.65075e+06,-1,-1,-1,0
4900,84745,2668.82,1,6930,9.75438e+06,-1,-1,-1,0
4910,84984,2450.3,1,6948,9.43119e+06,-1,-1,-1,0
4920,85219,2547.41,1,6960,9.52965e+06,-1,-1,-1,0
4930,85291,2385.26,1,6975,9.58607e+06,-1,-1,-1,0
4940,85636,2479.94,1,6990,9.61564e+06,-1,-1,-1,0
4950,86073,2451.91,1,7002,9.56937e+06,-1,-1,-1,0
4960,86391,2641.33,1,7014,1.01364e+07,-1,-1,-1,0
4970,86759,2682.94,1,7027,1.00827e+07,-1,-1,-1,0
4980,86829,2546.9,1,7041,9.83877e+06,-1,-1,-1,0
4990,87089,2853.14,1,7055,1.04132e+07,-1,-1,-1,0
5000,87465,2549.35,1,7068,9.9602e+06,-1,-1,-1,0
5010,87614,2508.56,1,7083,9.91468e+06,-1,-1,-1,0
5020,87787,2613.87,1,7101,1.02843e+07,-1,-1,-1,0
5030,88141,2717.46,1,7116,1.00024e+07,-1,-1,-1,0
5040,88211,2755.73,1,7131,1.05014e+07,-1,-1,-1,0
5050,88703,2722.36,1,7145,1.02093e+07,-1,-1,-1,0
5060,88933,2560.89,1,7160,1.00456e+07,-1,-1,-1,0
5070,88962,2919.08,1,7174,1.05905e+07,-1,-1,-1,0
5080,89252,2555.69,1,7191,1.01417e+07,-1,-1,-1,0
5090,88525,2899.26,1,7205,1.07591e+07,-1,-1,-1,0
5100,87955,2681.06,1,7219,1.05481e+07,-1,-1,-1,0
5110,88131,2637,1,7232,1.04603e+07,-1,-1,-1,0
5120,88256,2660.3,1,7248,1.0493e+07,-1,-1,-1,0
5130,88538,2774.76,1,7262,1.09333e+07,-1,-1,-1,0
5140,88818,2281.81,1,7280,9.62837e+06,-1,-1,-1,0
5150,88835,2670.14,1,7293,1.06462e+07,-1,-1,-1,0
5160,89136,2664.65,1,7307,1.04862e+07,-1,-1,-1,0
5170,89533,2759.79,1,7324,1.08494e+07,-1,-1,-1,0
5180,89870,2756.34,1,7332,1.09335e+07,-1,-1,-1,0
5190,89996,2628.77,1,7347,1.05156e+07,-1,-1,-1,0
5200,90256,2757.63,1,7363,1.09859e+07,-1,-1,-1,0
5210,90672,2649.68,1,7374,1.07242e+07,-1,-1,-1,0
5220,90985,2876.13,1,7390,1.11863e+07,-1,-1,-1,0
5230,91220,2285.95,1,7406,1.00264e+07,-1,-1,-1,0
5240,91370,2729.19,1,7418,1.09851e+07,-1,-1,-1,0
5250,91412,2472.81,1,7430,9.98789e+06,-1,-1,-1,0
5260,91609,2743.76,1,7448,1.09785e+07,-1,-1,-1,0
5270,91899,2733.38,1,7463,1.09411e+07,-1,-1,-1,0
5280,92307,2685.85,1,7477,1.08179e+07,-1,-1,-1,0
5290,92492,2740.93,1,7482,1.10091e+07,-1,-1,-1,0
5300,92554,2955.61,1,7497,1.14836e+07,-1,-1,-1,0
5310,92928,2969.92,1,7513,1.16053e+07,-1,-1,-1,0
5320,93202,2750.13,1,7526,1.11562e+07,-1,-1,-1,0
5330,93480,3033.9,1,7541,1.18578e+07,-1,-1,-1,0
5340,93606,2426.56,1,7553,1.016e+07,-1,-1,-1,0
5350,93986,2701.46,1,7565,1.11418e+07,-1,-1,-1,0
5360,94085,2683.82,1,7581,1.08628e+07,-1,-1,-1,0
5370,94460,2598.72,1,7595,1.09644e+07,-1,-1,-1,0
5380,94686,2855.45,1,7610,1.16145e+07,-1,-1,-1,0
5390,95052,2846.58,1,7625,1.13119e+07,-1,-1,-1,0
5400,95441,2887.57,1,7640,1.14201e+07,-1,-1,-1,0
5410,95808,2674.85,1,7656,1.11256e+07,-1,-1,-1,0
5420,95438,2630.98,1,7667,1.11789e+07,-1,-1,-1,0
5430,95584,2863.71,1,7679,1.17676e+07,-1,-1,-1,0
5440,95984,2652.1,1,7692,1.08683e+07,-1,-1,-1,0
5450,96178,2815.03,1,7709,1.16431e+07,-1,-1,-1,0
5460,96637,2492.16,1,7724,1.07969e+07,-1,-1,-1,0
5470,97096,2893.93,1,7740,1.17014e+07,-1,-1,-1,0
5480,97540,2952.01,1,7757,1.17747e+07,-1,-1,-1,0
5490,97826,2806.68,1,7774,1.14919e+07,-1,-1,-1,0
5500,98025,2916.07,1,7788,1.14676e+07,-1,-1,-1,0
5510,98225,3131.93,1,7804,1.24014e+07,-1,-1,-1,0
5520,98567,2639.24,1,7820,1.12819e+07,-1,-1,-1,0
5530,98425,2882.72,1,7832,1.1582e+07,-1,-1,-1,0
5540,98297,2854.45,1,7838,1.18572e+07,-1,-1,-1,0
5550,98474,2984.68,1,7851,1.21006e+07,-1,-1,-1,0
5560,98903,2670.64,1,7866,1.16383e+07,-1,-1,-1,0
5570,99336,3112.47,1,7878,1.24332e+07,-1,-1,-1,0
5580,99551,2984.13,1,7893,1.20978e+07,-1,-1,-1,0
5590,99730,2603.39,1,7907,1.13455e+07,-1,-1,-1,0
5600,100120,3041.3,1,7923,1.23319e+07,-1,-1,-1,0
5610,100160,3367.44,1,7936,1.29772e+07,-1,-1,-1,0
5620,100479,3020.55,1,7951,1.24725e+07,-1,-1,-1,0
5630,100803,2853.43,1,7965,1.1965e+07,-1,-1,-1,0
5640,100163,2887.01,1,7978,1.20764e+07,-1,-1,-1,0
5650,100542,2908.16,1,7991,1.25872e+07,-1,-1,-1,0
5660,100765,2962.43,1,8007,1.215e+07,-1,-1,-1,0
5670,100903,3265.31,1,8023,1.26912e+07,-1,-1,-1,0
5680,101241,3109.67,1,8040,1.27013e+07,-1,-1,-1,0
5690,101698,3029.47,1,8055,1.2645e+07,-1,-1,-1,0
5700,101772,3264,1,8068,1.29711e+07,-1,-1,-1,0
5710,100876,2795.12,1,8082,1.22207e+07,-1,-1,-1,0
5720,101301,3267.33,1,8100,1.3323e+07,-1,-1,-1,0
5730,101259,2933.7,1,8112,1.2781e+07,-1,-1,-1,0
5740,101721,2745.92,1,8124,1.21291e+07,-1,-1,-1,0
5750,102201,3086.26,1,8137,1.30807e+07,-1,-1,-1,0
5760,102178,3054.65,1,8148,1.29991e+07,-1,-1,-1,0
5770,101483,2834.89,1,8164,1.26509e+07,-1,-1,-1,0
5780,101735,2908.76,1,8179,1.25271e+07,-1,-1,-1,0
5790,102100,3275.49,1,8191,1.37268e+07,-1,-1,-1,0
5800,102304,2959.47,1,8198,1.29711e+07,-1,-1,-1,0
5810,102621,2660.75,1,8209,1.20953e+07,-1,-1,-1,0
5820,102910,2953.59,1,8219,1.26919e+07,-1,-1,-1,0
5830,103069,2960.86,1,8233,1.29651e+07,-1,-1,-1,0
5840,103546,2954.09,1,8248,1.30725e+07,-1,-1,-1,0
5850,103747,3277.13,1,8261,1.34949e+07,-1,-1,-1,0
5860,104081,3049.92,1,8275,1.33636e+07,-1,-1,-1,0
5870,104484,2989.76,1,8291,1.30842e+07,-1,-1,-1,0
5880,104757,2781.08,1,8308,1.28476e+07,-1,-1,-1,0
5890,104603,2694.64,1,8323,1.21191e+07,-1,-1,-1,0
5900,104549,2748.88,1,8336,1.25129e+07,-1,-1,-1,0
5910,104374,2779.95,1,8351,1.23694e+07,-1,-1,-1,0
5920,104643,3265.26,1,8368,1.35969e+07,-1,-1,-1,0
5930,104881,3351.95,1,8383,1.41109e+07,-1,-1,-1,0
5940,105217,3222.25,1,8399,1.39034e+07,-1,-1,-1,0
5950,105442,3133.95,1,8413,1.33673e+07,-1,-1,-1,0
5960,105886,3029.76,1,8425,1.33879e+07,-1,-1,-1,0
5970,106195,3029.18,1,8441,1.35259e+07,-1,-1,-1,0
5980,106460,2787.14,1,8454,1.25242e+07,-1,-1,-1,0
5990,106790,3178.3,1,8472,1.3688e+07,-1,-1,-1,0
6000,107112,3184.25,1,8486,1.37112e+07,-1,-1,-1,0
6010,107285,2885.24,1,8497,1.3237e+07,-1,-1,-1,0
6020,107635,3223.96,1,8510,1.3414e+07,-1,-1,-1,0
6030,106341,2850.58,1,8525,1.36383e+07,-1,-1,-1,0
6040,106438,2968.3,1,8540,1.38755e+07,-1,-1,-1,0
6050,106701,3120.01,1,8547,1.36721e+07,-1,-1,-1,0
6060,102975,2336.45,1,8560,1.21067e+07,-1,-1,-1,0
6070,103408,2258.16,1,8575,1.19406e+07,-1,-1,-1,0
6080,103631,2490.14,1,8591,1.19183e+07,-1,-1,-1,0
6090,103601,2356.24,1,8606,1.19273e+07,-1,-1,-1,0
6100,102154,2193.82,1,8619,1.16019e+07,-1,-1,-1,0
6110,102295,2065.64,1,8634,1.10202e+07,-1,-1,-1,0
6120,102526,2513.46,1,8651,1.26075e+07,-1,-1,-1,0
6130,102985,2233.31,1,8668,1.17297e+07,-1,-1,-1,0
6140,103294,2564.11,1,8680,1.28918e+07,-1,-1,-1,0
6150,103712,2306.07,1,8692,1.2003e+07,-1,-1,-1,0
6160,103831,1651.41,1,8707,8.93855e+06,-1,-1,-1,0
6170,104061,2017.53,1,8723,1.06449e+07,-1,-1,-1,0
6180,104257,1987.55,1,8739,1.09345e+07,-1,-1,-1,0
6190,104568,2607.57,1,8751,1.33139e+07,-1,-1,-1,0
6200,104845,1855.88,1,8767,1.04537e+07,-1,-1,-1,0
6210,105231,1863.33,1,8782,1.01352e+07,-1,-1,-1,0
6220,105362,2133.93,1,8795,1.1407e+07,-1,-1,-1,0
6230,105458,2311.26,1,8807,1.19855e+07,-1,-1,-1,0
6240,105714,2027.37,1,8819,1.11048e+07,-1,-1,-1,0
6250,106071,2100.6,1,8833,1.17082e+07,-1,-1,-1,0
6260,105956,2460.08,1,8850,1.30996e+07,-1,-1,-1,0
6270,106130,2715.34,1,8866,1.35602e+07,-1,-1,-1,0
6280,106378,2405.71,1,8881,1.24929e+07,-1,-1,-1,0
6290,106748,2321.27,1,8891,1.23805e+07,-1,-1,-1,0
6300,106940,2220.13,1,8906,1.22045e+07,-1,-1,-1,0
6310,106504,1998.03,1,8920,1.13714e+07,-1,-1,-1,0
6320,106882,1933,1,8934,1.08804e+07,-1,-1,-1,0
6330,107237,2128.34,1,8951,1.13155e+07,-1,-1,-1,0
6340,107653,1861.13,1,8965,1.05396e+07,-1,-1,-1,0
6350,106610,2308.29,1,8982,1.27492e+07,-1,-1,-1,0
6360,106648,2053.92,1,8994,1.16775e+07,-1,-1,-1,0
6370,102431,2226.01,1,8920,1.23539e+07,-1,-1,-1,0
6380,102499,1913.85,1,8931,1.08143e+07,-1,-1,-1,0
6390,102861,1477.24,1,8946,8.78589e+06,-1,-1,-1,0
6400,103109,2006.81,1,8958,1.16484e+07,-1,-1,-1,0
6410,103480,2391.9,1,8970,1.30192e+07,-1,-1,-1,0
6420,103511,1933.26,1,8985,1.12184e+07,-1,-1,-1,0
6430,103670,2519.65,1,8999,1.35508e+07,-1,-1,-1,0
6440,104073,2492.96,1,9018,1.36608e+07,-1,-1,-1,0
6450,104389,2362.56,1,9032,1.24403e+07,-1,-1,-1,0
6460,104912,1965.07,1,9049,1.08896e+07,-1,-1,-1,0
6470,105201,1797.25,1,9064,1.00639e+07,-1,-1,-1,0
6480,105534,2217.82,1,9080,1.23667e+07,-1,-1,-1,0
6490,105725,2390.21,1,9098,1.27598e+07,-1,-1,-1,0
6500,105612,2173.03,1,9115,1.22286e+07,-1,-1,-1,0
6510,105858,2558.07,1,9130,1.33777e+07,-1,-1,-1,0
6520,106193,2285.04,1,9145,1.29779e+07,-1,-1,-1,0
6530,105794,2199.34,1,9161,1.26022e+07,-1,-1,-1,0
6540,106083,2912.16,1,9175,1.53517e+07,-1,-1,-1,0
6550,106157,2518.83,1,9188,1.39954e+07,-1,-1,-1,0
6560,106245,2231.78,1,9201,1.24402e+07,-1,-1,-1,0
6570,106624,2448.47,1,9212,1.3471e+07,-1,-1,-1,0
6580,106864,2406.94,1,9224,1.3515e+07,-1,-1,-1,0
6590,107062,2014.26,1,9238,1.16534e+07,-1,-1,-1,0
6600,107401,2039.22,1,9254,1.16119e+07,-1,-1,-1,0
6610,102959,2140.79,1,9267,1.20924e+07,-1,-1,-1,0
6620,103298,1773.1,1,9280,1.07711e+07,-1,-1,-1,0
6630,103030,1904.02,1,9294,1.07815e+07,-1,-1,-1,0
6640,103253,2254.3,1,9308,1.23669e+07,-1,-1,-1,0
6650,103684,1983.21,1,9323,1.13452e+07,-1,-1,-1,0
6660,103861,2175.69,1,9334,1.25084e+07,-1,-1,-1,0
6670,103921,2111.51,1,9350,1.21119e+07,-1,-1,-1,0
6680,103849,2717.23,1,9363,1.50789e+07,-1,-1,-1,0
6690,103691,2338.52,1,9378,1.34912e+07,-1,-1,-1,0
6700,103985,2231.67,1,9390,1.24225e+07,-1,-1,-1,0
6710,104394,2582.54,1,9405,1.39286e+07,-1,-1,-1,0
6720,104671,2343.53,1,9415,1.35186e+07,-1,-1,-1,0
6730,104974,1986.02,1,9428,1.16867e+07,-1,-1,-1,0
6740,105357,2339.44,1,9441,1.29122e+07,-1,-1,-1,0
6750,105570,2481.02,1,9452,1.36981e+07,-1,-1,-1,0
6760,105805,2351,1,9466,1.34616e+07,-1,-1,-1,0
6770,105871,2563.05,1,9478,1.44367e+07,-1,-1,-1,0
6780,106250,2654.12,1,9493,1.41744e+07,-1,-1,-1,0
6790,105331,2416.45,1,9506,1.37065e+07,-1,-1,-1,0
6800,105439,2891.33,1,9517,1.55133e+07,-1,-1,-1,0
6810,105345,2634.91,1,9530,1.54064e+07,-1,-1,-1,0
6820,105737,2636.83,1,9548,1.54329e+07,-1,-1,-1,0
6830,105855,2895.35,1,9563,1.60936e+07,-1,-1,-1,0
6840,105945,2286.08,1,9576,1.39261e+07,-1,-1,-1,0
6850,106336,1798.87,1,9587,1.09144e+07,-1,-1,-1,0
6860,106477,2599.66,1,9605,1.52101e+07,-1,-1,-1,0
6870,106669,2605.24,1,9620,1.5282e+07,-1,-1,-1,0
6880,107054,2845.33,1,9635,1.59852e+07,-1,-1,-1,0
6890,107274,2634.67,1,9645,1.51182e+07,-1,-1,-1,0
6900,107558,3082.8,1,9659,1.7292e+07,-1,-1,-1,0
6910,107801,2407.15,1,9677,1.38854e+07,-1,-1,-1,0
6920,108047,2705.13,1,9692,1.5347e+07,-1,-1,-1,0
6930,103616,2609,1,9704,1.57504e+07,-1,-1,-1,0
6940,103997,2236.49,1,9716,1.37271e+07,-1,-1,-1,0
6950,103953,1775.95,1,9729,1.1732e+07,-1,-1,-1,0
6960,104320,2033.48,1,9743,1.29369e+07,-1,-1,-1,0
6970,104602,2607.21,1,9756,1.53834e+07,-1,-1,-1,0
6980,104634,2012.8,1,9770,1.23669e+07,-1,-1,-1,0
6990,104897,2315.87,1,9782,1.42731e+07,-1,-1,-1,0
7000,105104,2067.49,1,9800,1.33372e+07,-1,-1,-1,0
7010,105451,2368.54,1,9817,1.41758e+07,-1,-1,-1,0
7020,105710,2184.26,1,9828,1.35195e+07,-1,-1,-1,0
7030,106107,2293.61,1,9841,1.36058e+07,-1,-1,-1,0
7040,106334,1740.68,1,9853,1.10506e+07,-1,-1,-1,0
7050,106726,2142.67,1,9869,1.32675e+07,-1,-1,-1,0
7060,106626,2139.32,1,9884,1.32275e+07,-1,-1,-1,0
7070,107048,2286.44,1,9901,1.44599e+07,-1,-1,-1,0
7080,107276,2407.08,1,9912,1.47255e+07,-1,-1,-1,0
7090,107475,2250.81,1,9924,1.47116e+07,-1,-1,-1,0
7100,107713,2613.61,1,9939,1.5564e+07,-1,-1,-1,0
7110,107450,1956.36,1,9954,1.27013e+07,-1,-1,-1,0
7120,107713,2234.3,1,9961,1.40852e+07,-1,-1,-1,0
7130,107811,2330.75,1,9974,1.4509e+07,-1,-1,-1,0
7140,108150,1870.86,1,9984,1.19847e+07,-1,-1,-1,0
7150,106622,1643.59,1,9999,1.03674e+07,-1,-1,-1,0
7160,106719,1975.45,1,10014,1.30486e+07,-1,-1,-1,0
7170,104833,2116.3,1,10029,1.36739e+07,-1,-1,-1,0
7180,105197,2336.09,1,10041,1.50221e+07,-1,-1,-1,0
7190,105460,1537.77,1,10055,9.84906e+06,-1,-1,-1,0
